Portugues,English,Pronunciation
receber,receive,
valor,value,
internacional,international,
prédio,building,
Ação,action,
completo,full,
modelo,model,
juntar,join,
temporada,season,
sociedade,society,
imposto,tax,
diretor,director,
posição,position,
jogador,player,
concordar,agree,
especialmente,especially,
registro,record,
escolha,pick,
vestir,wear,
papel,paper,
especial,special,
espaço,space,
chão,ground,
forma,form,
apoiar,support,
evento,event,
oficial,official,
cujo,whose,
matéria,matter,
todos,everyone,
Centro,center,
casal,couple,
site,site,
projeto,project,
bater,hit,
base,base,
atividade,activity,
estrela,star,
mesa,table,
tribunal,court,
produzir,produce,
comer,eat,
ensinar,teach,
óleo,oil,
metade,half,
situação,situation,
fácil,easy,
custo,cost,
indústria,industry,
figura,figure,
rua,street,
imagem,image,
em si,itself,
telefone,phone,
qualquer,either,
dados,data,
cobrir,cover,
bastante,quite,
foto,picture,
claro,clear,
prática,practice,
pedaço,piece,
terra,land,
recente,recent,
descrever,describe,
produtos,product,
doutor,doctor,
parede,wall,
paciente,patient,
trabalhador,worker,
notícias,news,
teste,test,
filme,movie,
certo,certain,
norte,north,
pessoal,personal,
simplesmente,simply,
terceiro,third,
tecnologia,technology,
pegar,catch,
etapa,step,
bebê,baby,
computador,computer,
tipo,type,
atenção,attention,
empate,draw,
filme,film,
Republicano,Republican,
árvore,tree,
fonte,source,
vermelho,red,
aproximadamente,nearly,
organização,organization,
escolher,choose,
causa,cause,
cabelo,hair,
século,century,
evidência,evidence,
janela,window,
difícil,difficult,
ouvir,listen,
breve,soon,
cultura,culture,
bilhão,billion,
chance,chance,
irmão,brother,
energia,energy,
período,period,
verão,summer,
entender,realize,
centenas,hundred,
disponível,available,
plantar,plant,
provável,likely,
oportunidade,opportunity,
prazo,term,
curto,short,
carta,letter,
doença,condition,
escolha,choice,
solteiro,single,
regra,rule,
filha,daughter,
administração,administration,
sul,south,
marido,husband,
Congresso,Congress,
chão,floor,
campanha,campaign,
material,material,
população,population,
economia,economy,
médico,medical,
hospital,hospital,
igreja,church,
fechar,close,
mil,thousand,
risco,risk,
atual,current,
fogo,fire,
futuro,future,
errado,wrong,
envolver,involve,
defesa,defense,
qualquer um,anyone,
aumentar,increase,
segurança,security,
banco,bank,
eu mesmo,myself,
certamente,certainly,
Oeste,west,
esporte,sport,
quadro,board,
procurar,seek,
por,per,
assunto,subject,
Policial,officer,
privado,private,
descansar,rest,
comportamento,behavior,
negócio,deal,
desempenho,performance,
lutar,fight,
lançar,throw,
principal,top,
rapidamente,quickly,
passado,past,
meta,goal,
cama,bed,
ordem,order,
autor,author,
preencher,fill,
representar,represent,
foco,focus,
estrangeiro,foreign,
derrubar,drop,
sangue,blood,
sobre,upon,
agência,agency,
empurrar,push,
natureza,nature,
cor,color,
recentemente,recently,
loja,store,
reduzir,reduce,
som,sound,
observação,note,
multar,fine,
aproximar,near,
movimento,movement,
página,page,
digitar,enter,
compartilhar,share,
comum,common,
pobre,poor,
natural,natural,
corrida,race,
preocupação,concern,
Series,series,
significativo,significant,
semelhante,similar,
quente,hot,
linguagem,language,
geralmente,usually,
resposta,response,
morto,dead,
ascender,rise,
animal,animal,
fator,factor,
década,decade,
artigo,article,
atirar,shoot,
leste,east,
salvar,save,
Sete,seven,
artista,artist,
cena,scene,
estoque,stock,
carreira,career,
apesar de,despite,
central,central,
oito,eight,
por isso,thus,
tratamento,treatment,
além,beyond,
feliz,happy,
exatamente,exactly,
proteger,protect,
abordagem,approach,
mentira,lie,
tamanho,size,
cachorro,dog,
fundo,fund,
sério,serious,
ocorrer,occur,
meios de comunicação,media,
preparar,ready,
sinal,sign,
pensamento,thought,
lista,list,
Individual,individual,
simples,simple,
qualidade,quality,
pressão,pressure,
aceitar,accept,
responder,answer,
recurso,resource,
identificar,identify,
esquerda,left,
reunião,meeting,
determinar,determine,
preparar,prepare,
doença,disease,
qualquer que seja,whatever,
sucesso,success,
discutir,argue,
xícara,cup,
particularmente,particularly,
quantia,amount,
habilidade,ability,
funcionários,staff,
reconhecer,recognize,
indicar,indicate,
personagem,character,
crescimento,growth,
perda,loss,
grau,degree,
maravilha,wonder,
ataque,attack,
ela mesma,herself,
região,region,
televisão,television,
caixa,box,
televisão,TV,
treinamento,training,
bonito,pretty,
troca,trade,
eleição,election,
todo mundo,everybody,
físico,physical,
deitar,lay,
em geral,general,
sentimento,feeling,
padrão,standard,
conta,bill,
mensagem,message,
falhar,fail,
fora,outside,
chegar,arrive,
análise,analysis,
beneficiar,benefit,
sexo,sex,
avançar,forward,
advogado,lawyer,
presente,present,
seção,section,
ambiental,environmental,
vidro,glass,
habilidade,skill,
irmã,sister,
PM,PM,
professor,professor,
Operação,operation,
financeiro,financial,
crime,crime,
estágio,stage,
OK,ok,
comparar,compare,
autoridade,authority,
perder,miss,
projeto,design,
organizar,sort,
agir,act,
dez,ten,
conhecimento,knowledge,
pistola,gun,
estação,station,
azul,blue,
estratégia,strategy,
claramente,clearly,
discutir,discuss,
de fato,indeed,
verdade,truth,
canção,song,
exemplo,example,
democrático,democratic,
verificar,check,
ambiente,environment,
perna,leg,
escuro,dark,
vários,various,
em vez de,rather,
rir,laugh,
adivinhar,guess,
executivo,executive,
provar,prove,
pendurar,hang,
inteiro,entire,
pedra,rock,
esquecer,forget,
alegar,claim,
remover,remove,
gerente,manager,
aproveitar,enjoy,
rede,network,
jurídico,legal,
religioso,religious,
frio,cold,
final,final,
principal,main,
Ciência,science,
verde,green,
memória,memory,
cartão,card,
acima,above,
assento,seat,
célula,cell,
estabelecer,establish,
legal,nice,
julgamento,trial,
especialista,expert,
primavera,spring,
empresa,firm,
Democrata,Democrat,
rádio,radio,
Visita,visit,
gerenciamento,management,
evitar,avoid,
Imagine,imagine,
essa noite,tonight,
enorme,huge,
bola,ball,
terminar,finish,
você mesmo,yourself,
teoria,theory,
impacto,impact,
responder,respond,
declaração,statement,
manter,maintain,
cobrar,charge,
popular,popular,
tradicional,traditional,
para,onto,
revelar,reveal,
direção,direction,
arma,weapon,
funcionário,employee,
cultural,cultural,
conter,contain,
paz,peace,
dor,pain,
aplicar,apply,
medir,measure,
largo,wide,
sacudir,shake,
voar,fly,
entrevista,interview,
gerenciar,manage,
cadeira,chair,
peixe,fish,
especial,particular,
Câmera,camera,
estrutura,structure,
política,politics,
executar,perform,
pedaço,bit,
peso,weight,
de repente,suddenly,
descobrir,discover,
candidato,candidate,
Produção,production,
tratar,treat,
viagem,trip,
noite,evening,
afetar,affect,
dentro,inside,
conferência,conference,
unidade,unit,
estilo,style,
adulto,adult,
preocupar,worry,
faixa,range,
menção,mention,
profundo,deep,
borda,edge,
específico,specific,
escritor,writer,
dificuldade,trouble,
necessário,necessary,
por todo,throughout,
desafio,challenge,
temer,fear,
ombro,shoulder,
instituição,institution,
meio,middle,
mar,sea,
sonhar,dream,
bar,bar,
lindo,beautiful,
propriedade,property,
em vez de,instead,
melhorar,improve,
coisa,stuff,
detalhe,detail,
método,method,
alguém,somebody,
revista,magazine,
hotel,hotel,
soldado,soldier,
refletir,reflect,
pesado,heavy,
sexual,sexual,
bolsa,bag,
aquecer,heat,
casado,marriage,
difícil,tough,
cantar,sing,
superfície,surface,
propósito,purpose,
existir,exist,
padrão,pattern,
a quem,whom,
pele,skin,
agente,agent,
proprietário,owner,
máquina,machine,
gás,gas,
à frente,ahead,
geração,generation,
comercial,commercial,
endereço,address,
Câncer,cancer,
item,item,
realidade,reality,
treinador,coach,
Sra,Mrs,
quintal,yard,
bater,beat,
violência,violence,
total,total,
tratar,tend,
investimento,investment,
discussão,discussion,
dedo,finger,
jardim,garden,
perceber,notice,
coleção,collection,
moderno,modern,
tarefa,task,
parceiro,partner,
positivo,positive,
Civil,civil,
cozinha,kitchen,
consumidor,consumer,
tomada,shot,
orçamento,budget,
desejar,wish,
pintura,painting,
cientista,scientist,
seguro,safe,
acordo,agreement,
capital,capital,
boca,mouth,
nem,nor,
vítima,victim,
jornal,newspaper,
ameaça,threat,
responsabilidade,responsibility,
sorriso,smile,
advogado,attorney,
pontuação,score,
conta,account,
interessante,interesting,
público,audience,
rico,rich,
jantar,dinner,
voto,vote,
ocidental,western,
relacionar,relate,
viagem,travel,
debate,debate,
evitar,prevent,
cidadão,citizen,
maioria,majority,
nenhum,none,
frente,front,
nascer,born,
Admitem,admit,
Senior,senior,
presumir,assume,
vento,wind,
chave,key,
profissional,professional,
missão,mission,
rápido,fast,
sozinho,alone,
cliente,customer,
sofrer,suffer,
discurso,speech,
bem-sucedido,successful,
opção,option,
participante,participant,
sulista,southern,
fresco,fresh,
eventualmente,eventually,
floresta,forest,
vídeo,video,
global,global,
Senado,Senate,
reforma,reform,
acesso,access,
restaurante,restaurant,
juiz,judge,
publicar,publish,
relação,relation,
liberar,release,
pássaro,bird,
opinião,opinion,
crédito,credit,
crítico,critical,
canto,corner,
preocupado,concerned,
lembrar,recall,
versão,version,
olhar fixamente,stare,
segurança,safety,
eficaz,effective,
vizinhança,neighborhood,
original,original,
tropa,troop,
renda,income,
diretamente,directly,
ferir,hurt,
espécies,species,
imediatamente,immediately,
acompanhar,track,
básico,basic,
batida,strike,
céu,sky,
liberdade,freedom,
absolutamente,absolutely,
avião,plane,
ninguém,nobody,
alcançar,achieve,
objeto,object,
atitude,attitude,
trabalho,labor,
referir,refer,
conceito,concept,
cliente,client,
poderoso,powerful,
perfeito,perfect,
nove,nine,
portanto,therefore,
conduta,conduct,
anunciar,announce,
conversação,conversation,
examinar,examine,
tocar,touch,
por favor,please,
participar,attend,
completamente,completely,
variedade,variety,
dormir,sleep,
envolvido,involved,
investigação,investigation,
nuclear,nuclear,
investigador,researcher,
imprensa,press,
conflito,conflict,
espírito,spirit,
substituir,replace,
Britânico,British,
encorajar,encourage,
argumento,argument,
acampamento,camp,
cérebro,brain,
recurso,feature,
tarde,afternoon,
SOU,AM,
fim de semana,weekend,
dúzia,dozen,
possibilidade,possibility,
seguro,insurance,
departamento,department,
batalha,battle,
começo,beginning,
data,date,
geralmente,generally,
africano,African,
desculpe,sorry,
crise,crisis,
completo,complete,
fã,fan,
grudar,stick,
definir,define,
facilmente,easily,
buraco,hole,
elemento,element,
visão,vision,
status,status,
normal,normal,
chinês,Chinese,
enviar,ship,
solução,solution,
pedra,stone,
devagar,slowly,
escala,scale,
universidade,university,
introduzir,introduce,
motorista,driver,
tentar,attempt,
parque,park,
ver,spot,
falta,lack,
gelo,ice,
barco,boat,
bebida,drink,
sol,sun,
distância,distance,
madeira,wood,
lidar,handle,
caminhão,truck,
montanha,mountain,
enquete,survey,
suposto,supposed,
tradição,tradition,
inverno,winter,
Vila,village,
Soviético,Soviet,
recusar,refuse,
vendas,sales,
rolar,roll,
comunicação,communication,
tela,screen,
ganho,gain,
residente,resident,
esconder,hide,
ouro,gold,
clube,club,
fazenda,farm,
potencial,potential,
europeu,European,
presença,presence,
independente,independent,
distrito,district,
forma,shape,
leitor,reader,
EM,Ms,
contrato,contract,
multidão,crowd,
cristão,Christian,
expressar,express,
apartamento,apartment,
disposto,willing,
força,strength,
anterior,previous,
banda,band,
obviamente,obviously,
cavalo,horse,
interessado,interested,
alvo,target,
prisão,prison,
andar de,ride,
guarda,guard,
termos,terms,
demanda,demand,
repórter,reporter,
entregar,deliver,
texto,text,
ferramenta,tool,
selvagem,wild,
veículo,vehicle,
observar,observe,
voo,flight,
instalação,facility,
entendimento,understanding,
média,average,
emerge,emerge,
vantagem,advantage,
rápido,quick,
liderança,leadership,
ganhar,earn,
libra,pound,
base,basis,
brilhante,bright,
operar,operate,
convidado,guest,
amostra,sample,
contribuir,contribute,
pequeno,tiny,
bloquear,block,
proteção,protection,
resolver,settle,
alimentar,feed,
coletar,collect,
adicional,additional,
altamente,highly,
identidade,identity,
título,title,
majoritariamente,mostly,
lição,lesson,
fé,faith,
rio,river,
promover,promote,
vivendo,living,
contar,count,
a menos que,unless,
casar,marry,
amanhã,tomorrow,
técnica,technique,
caminho,path,
orelha,ear,
comprar,shop,
Folk,folk,
princípio,principle,
sobreviver,survive,
elevador,lift,
fronteira,border,
concorrência,competition,
pular,jump,
juntar,gather,
limite,limit,
ajustar,fit,
chorar,cry,
equipamento,equipment,
valor,worth,
associado,associate,
crítico,critic,
esquentar,warm,
aspecto,aspect,
insistir,insist,
falha,failure,
anual,annual,
Francês,French,
Natal,Christmas,
Comente,comment,
responsável,responsible,
assunto,affair,
procedimento,procedure,
regular,regular,
espalhar,spread,
presidente,chairman,
beisebol,baseball,
macio,soft,
ignorar,ignore,
ovo,egg,
crença,belief,
demonstrar,demonstrate,
qualquer pessoa,anybody,
assassinato,murder,
presente,gift,
religião,religion,
análise,review,
editor,editor,
envolver,engage,
café,coffee,
documento,document,
velocidade,speed,
cruzar,cross,
influência,influence,
de qualquer forma,anyway,
ameaçar,threaten,
comprometer-se,commit,
fêmea,female,
juventude,youth,
aceno,wave,
com medo,afraid,
trimestre,quarter,
fundo,background,
nativo,native,
largo,broad,
maravilhoso,wonderful,
negar,deny,
aparentemente,apparently,
um pouco,slightly,
reação,reaction,
duas vezes,twice,
terno,suit,
perspectiva,perspective,
crescente,growing,
soprar,blow,
construção,construction,
inteligência,intelligence,
destruir,destroy,
cozinhar,cook,
conexão,connection,
queimar,burn,
sapato,shoe,
nota,grade,
contexto,context,
Comitê,committee,
ei,hey,
erro,mistake,
localização,location,
roupas,clothes,
indiano,Indian,
quieto,quiet,
vestir,dress,
promessa,promise,
consciente,aware,
vizinho,neighbor,
função,function,
osso,bone,
ativo,active,
ampliar,extend,
chefe,chief,
combinar,combine,
vinho,wine,
abaixo,below,
legal,cool,
eleitor,voter,
aprendizado,learning,
ônibus,bus,
inferno,hell,
perigoso,dangerous,
lembrar,remind,
moral,moral,
Unido,United,
categoria,category,
relativamente,relatively,
vitória,victory,
acadêmico,academic,
Internet,Internet,
saudável,healthy,
negativo,negative,
seguindo,following,
histórico,historical,
medicamento,medicine,
percorrer,tour,
depender,depend,
foto,photo,
encontrando,finding,
pegar,grab,
direto,direct,
sala de aula,classroom,
contato,contact,
justiça,justice,
participar,participate,
diário,daily,
justo,fair,
par,pair,
famoso,famous,
exercício,exercise,
joelho,knee,
flor,flower,
fita,tape,
contratar,hire,
familiar,familiar,
apropriado,appropriate,
fornecer,supply,
completamente,fully,
ator,actor,
aniversário,birth,
procurar,search,
gravata,tie,
democracia,democracy,
Oriental,eastern,
Primário,primary,
ontem,yesterday,
círculo,circle,
dispositivo,device,
progresso,progress,
fundo,bottom,
ilha,island,
intercâmbio,exchange,
limpar,clean,
estúdio,studio,
trem,train,
senhora,lady,
colega,colleague,
aplicativo,application,
pescoço,neck,
magro,lean,
dano,damage,
plástico,plastic,
alto,tall,
placa,plate,
odiar,hate,
de outra forma,otherwise,
escrita,writing,
macho,male,
vivo,alive,
expressão,expression,
futebol,football,
pretende,intend,
frango,chicken,
exército,army,
Abuso,abuse,
teatro,theater,
fechar,shut,
mapa,map,
extra,extra,
sessão,session,
perigo,danger,
Bem-vindo,welcome,
doméstico,domestic,
grande quantidade,lots,
literatura,literature,
chuva,rain,
desejo,desire,
avaliação,assessment,
ferida,injury,
respeito,respect,
norte,northern,
acenar,nod,
pintar,paint,
combustível,fuel,
folha,leaf,
seco,dry,
russo,Russian,
instrução,instruction,
piscina,pool,
escalar,climb,
doce,sweet,
motor,engine,
quarto,fourth,
sal,salt,
expandir,expand,
importância,importance,
metal,metal,
gordo,fat,
bilhete,ticket,
Programas,software,
desaparecer,disappear,
corporativo,corporate,
estranho,strange,
lábio,lip,
leitura,reading,
urbano,urban,
mental,mental,
cada vez mais,increasingly,
almoço,lunch,
educacional,educational,
em algum lugar,somewhere,
agricultor,farmer,
açúcar,sugar,
planeta,planet,
favorito,favorite,
explorar,explore,
obtivermos,obtain,
inimigo,enemy,
o melhor,greatest,
complexo,complex,
cercada,surround,
atleta,athlete,
convidar,invite,
repita,repeat,
com cuidado,carefully,
alma,soul,
científico,scientific,
impossível,impossible,
painel,panel,
significado,meaning,
mãe,mom,
casado,married,
instrumento,instrument,
prever,predict,
clima,weather,
presidencial,presidential,
emocional,emotional,
compromisso,commitment,
Supremo,Supreme,
urso,bear,
bolso,pocket,
afinar,thin,
temperatura,temperature,
surpresa,surprise,
enquete,poll,
proposta,proposal,
consequência,consequence,
respiração,breath,
visão,sight,
equilíbrio,balance,
adotar,adopt,
minoria,minority,
direto,straight,
conectar,connect,
funciona,works,
ensino,teaching,
pertencer,belong,
ajuda,aid,
conselho,advice,
OK,okay,
fotografia,photograph,
vazio,empty,
regional,regional,
trilha,trail,
romance,novel,
código,code,
de alguma forma,somehow,
organizar,organize,
júri,jury,
seios,breast,
iraquiano,Iraqi,
reconhecer,acknowledge,
tema,theme,
tempestade,storm,
União,union,
mesa,desk,
obrigado,thanks,
fruta,fruit,
caro,expensive,
amarelo,yellow,
conclusão,conclusion,
melhor,prime,
sombra,shadow,
luta,struggle,
concluir,conclude,
analista,analyst,
dança,dance,
regulamento,regulation,
ser,being,
anel,ring,
largamente,largely,
mudança,shift,
receita,revenue,
marca,mark,
localizar,locate,
condado,county,
aparência,appearance,
pacote,package,
dificuldade,difficulty,
ponte,bridge,
recomendar,recommend,
óbvio,obvious,
basicamente,basically,
e-mail,e-mail,
gerar,generate,
não mais,anymore,
propor,propose,
pensamento,thinking,
possivelmente,possibly,
tendência,trend,
Visitante,visitor,
empréstimo,loan,
atualmente,currently,
confortável,comfortable,
investidor,investor,
lucro,profit,
nervoso,angry,
equipe,crew,
acidente,accident,
refeição,meal,
audição,hearing,
tráfego,traffic,
músculo,muscle,
noção,notion,
capturar,capture,
preferir,prefer,
verdadeiramente,truly,
terra,earth,
japonês,Japanese,
peito,chest,
espesso,thick,
dinheiro,cash,
museu,museum,
beleza,beauty,
emergência,emergency,
exclusivo,unique,
interno,internal,
étnico,ethnic,
link,link,
estresse,stress,
contente,content,
Selecione,select,
raiz,root,
nariz,nose,
declarar,declare,
apreciar,appreciate,
real,actual,
garrafa,bottle,
dificilmente,hardly,
contexto,setting,
lançar,launch,
arquivo,file,
doente,sick,
resultado,outcome,
de Anúncios,ad,
defender,defend,
obrigação,duty,
folha,sheet,
deveria,ought,
garantir,ensure,
católico,Catholic,
extremamente,extremely,
extensão,extent,
componente,component,
misturar,mix,
longo prazo,long-term,
lento,slow,
contraste,contrast,
zona,zone,
acordar,wake,
aeroporto,airport,
marrom,brown,
camisa,shirt,
piloto,pilot,
avisar,warn,
em última análise,ultimately,
gato,cat,
contribuição,contribution,
capacidade,capacity,
nós mesmos,ourselves,
Estado,estate,
guia,guide,
circunstância,circumstance,
neve,snow,
Inglês,English,
político,politician,
roubar,steal,spəˈsifək(ə)lē
perseguir,pursue,
escorregar,slip,
percentagem,percentage,
carne,meat,
engraçado,funny,
nenhum,neither,
solo,soil,
cirurgia,surgery,
correto,correct,
judaico,Jewish,
culpa,blame,
estimativa,estimate,
devido,due,
basquetebol,basketball,
golfe,golf,
investigar,investigate,
louco,crazy,
significativamente,significantly,
corrente,chain,
filial,branch,
combinação,combination,
freqüentemente,frequently,
governador,governor,
alívio,relief,
do utilizador,user,
pai,dad,
chute,kick,
maneiras,manner,
ancestral,ancient,
silêncio,silence,
avaliação,rating,
dourado,golden,
movimento,motion,
Alemão,German,
gênero,gender,
resolver,solve,
taxa,fee,
paisagem,landscape,
usado,used,
tigela,bowl,
igual,equal,
adiante,forth,
quadro,frame,
típica,typical,
exceto,except,
conservador,conservative,
eliminar,eliminate,
hospedar,host,
salão,hall,
confiar,trust,
oceano,ocean,
linha,row,
produtor,producer,
dispor,afford,
enquanto isso,meanwhile,
regime,regime,
divisão,division,
confirme,confirm,
consertar,fix,
apelo,appeal,
espelho,mirror,
dente,tooth,
inteligente,smart,
comprimento,length,
inteiramente,entirely,
confiar,rely,
tema,topic,
reclamar,complain,
variável,variable,
Telefone,telephone,
percepção,perception,
atrai,attract,
confiança,confidence,
quarto,bedroom,
segredo,secret,
dívida,debt,
cru,rare,
tanque,tank,
enfermeira,nurse,
cobertura,coverage,
oposição,opposition,
aparte,aside,
em qualquer lugar,anywhere,
ligação,bond,
prazer,pleasure,
mestre,master,
era,era,
requerimento,requirement,
diversão,fun,
expectativa,expectation,
asa,wing,
separado,separate,
de alguma forma,somewhat,
derramar,pour,
mexer,stir,
julgamento,judgment,
cerveja,beer,
referência,reference,
rasgar,tear,
dúvida,doubt,
conceder,grant,
seriamente,seriously,
ministro,minister,
totalmente,totally,
herói,hero,
industrial,industrial,
nuvem,cloud,
esticar,stretch,
ganhador,winner,
volume,volume,
semente,seed,
surpreso,surprised,
moda,fashion,
pimenta,pepper,
ocupado,busy,
intervenção,intervention,
cópia de,copy,
dica,tip,
barato,cheap,
mirar,aim,
citar,cite,
bem-estar,welfare,
vegetal,vegetable,
cinza,gray,
prato,dish,
praia,beach,
melhoria,improvement,
em todos os lugares,everywhere,
abertura,opening,
geral,overall,
dividir,divide,
inicial,initial,
Terrível,terrible,
opor,oppose,
contemporâneo,contemporary,
rota,route,
múltiplo,multiple,
essencial,essential,
liga,league,
Criminoso,criminal,
cuidadoso,careful,
essencial,core,
superior,upper,
correr,rush,
necessariamente,necessarily,
cansado,tired,
empregar,employ,
feriado,holiday,
grande,vast,
resolução,resolution,
doméstico,household,
menos,fewer,
aborto,abortion,
separado,apart,
testemunha,witness,
corresponder,match,
por muito pouco,barely,
setor,sector,
representante,representative,
abaixo,beneath,
ao lado,beside,
incidente,incident,
limitado,limited,
orgulhoso,proud,
fluxo,flow,
Faculdade,faculty,
aumentou,increased,
desperdício,waste,
apenas,merely,
massa,mass,
enfatizar,emphasize,
experimentar,experiment,
definitivamente,definitely,
bombear,bomb,
enorme,enormous,
tom,tone,
liberal,liberal,
enorme,massive,
engenheiro,engineer,
roda,wheel,
declínio,decline,
